Close,Volume,date
50.8,27105.0,2017-03-23
50.56,35569.0,2017-03-22
50.64,39102.0,2017-03-21
50.96,30377.0,2017-03-20
51.62,25177.0,2017-03-19
51.76,20151.0,2017-03-16
51.74,28932.0,2017-03-15
51.81,36290.0,2017-03-14
50.92,49660.0,2017-03-13
51.35,28880.0,2017-03-12
51.37,41261.0,2017-03-10
52.19,61215.0,2017-03-09
53.11,43000.0,2017-03-08
55.92,28162.0,2017-03-07
56.01,25402.0,2017-03-06
55.9,24688.0,2017-03-03
55.08,34925.0,2017-03-02
55.6,25932.0,2017-03-01
55.59,685.0,2017-02-28
55.93,10972.0,2017-02-27
55.99,18720.0,2017-02-24
56.58,36155.0,2017-02-23
55.84,36358.0,2017-02-22
56.66,57648.0,2017-02-21
55.81,27599.0,2017-02-17
55.65,32712.0,2017-02-16
55.75,26608.0,2017-02-15
55.97,25975.0,2017-02-14
55.59,25049.0,2017-02-13
56.7,30763.0,2017-02-10
55.63,29628.0,2017-02-09
55.12,44864.0,2017-02-08
55.05,32659.0,2017-02-07
55.72,26706.0,2017-02-06
56.81,26703.0,2017-02-03
56.56,31371.0,2017-02-02
55.66,34772.0,2017-02-01
55.7,578.0,2017-01-31
55.23,9982.0,2017-01-30
55.52,20964.0,2017-01-27
56.24,45145.0,2017-01-26
55.08,34247.0,2017-01-25
55.44,32411.0,2017-01-24
55.23,33859.0,2017-01-23
55.49,29231.0,2017-01-20
54.16,33327.0,2017-01-19
53.92,40148.0,2017-01-18
55.47,44899.0,2017-01-17
55.45,25417.0,2017-01-13
56.01,36424.0,2017-01-12
55.1,45944.0,2017-01-11
53.64,33801.0,2017-01-10
54.94,25860.0,2017-01-09
57.1,24948.0,2017-01-06
56.89,32833.0,2017-01-05
56.46,27804.0,2017-01-04
55.47,42688.0,2017-01-03
56.13,13775.0,2016-12-30
56.14,595.0,2016-12-29
56.22,10677.0,2016-12-28
56.09,8294.0,2016-12-27
55.16,15503.0,2016-12-23
55.05,30938.0,2016-12-22
54.46,31242.0,2016-12-21
55.35,37241.0,2016-12-20
54.92,30608.0,2016-12-19
55.21,31303.0,2016-12-16
54.02,34744.0,2016-12-15
53.9,39813.0,2016-12-14
55.72,38210.0,2016-12-13
55.69,45732.0,2016-12-12
54.33,30445.0,2016-12-09
53.89,44044.0,2016-12-08
53.0,34297.0,2016-12-07
53.93,34688.0,2016-12-06
54.94,33656.0,2016-12-05
54.46,39305.0,2016-12-02
50.46,71317.0,2016-12-01
50.47,1083.0,2016-11-30
46.38,15550.0,2016-11-29
48.24,25170.0,2016-11-28
47.24,27459.0,2016-11-25
48.95,46018.0,2016-11-23
49.12,62072.0,2016-11-22
48.9,42541.0,2016-11-21
46.86,39532.0,2016-11-18
46.49,39989.0,2016-11-17
46.63,43917.0,2016-11-16
46.95,43809.0,2016-11-15
44.43,37427.0,2016-11-14
45.84,35421.0,2016-11-10
46.36,53512.0,2016-11-09
46.04,33500.0,2016-11-08
46.15,30522.0,2016-11-07
45.58,54210.0,2016-11-03
46.35,33590.0,2016-11-02
46.86,47015.0,2016-11-01
48.33,56065.0,2016-10-31
