Date,Close/Last,Volume,Open,High,Low
05/28/2015,57.77,N/A,57.77,57.77,57.77
05/27/2015,57.61,N/A,57.61,57.61,57.61
05/26/2015,58.15,N/A,58.15,58.15,58.15
05/25/2015,59.84,N/A,59.84,59.84,59.84
05/22/2015,59.84,N/A,59.84,59.84,59.84
05/21/2015,60.84,N/A,60.84,60.84,60.84
05/20/2015,59.11,N/A,59.11,59.11,59.11
05/19/2015,58.12,N/A,58.12,58.12,58.12
05/18/2015,60.35,N/A,60.35,60.35,60.35
05/15/2015,60.67,N/A,60.67,60.67,60.67
05/14/2015,60.98,N/A,60.98,60.98,60.98
05/13/2015,61.63,N/A,61.63,61.63,61.63
05/12/2015,61.88,N/A,61.88,61.88,61.88
05/11/2015,60.44,N/A,60.44,60.44,60.44
05/08/2015,60.48,N/A,60.48,60.48,60.48
05/07/2015,60.05,N/A,60.05,60.05,60.05
05/06/2015,62.15,N/A,62.15,62.15,62.15
05/05/2015,61.67,N/A,61.67,61.67,61.67
05/04/2015,60.35,N/A,60.35,60.35,60.35
05/01/2015,60.55,N/A,60.55,60.55,60.55
04/30/2015,60.87,N/A,60.87,60.87,60.87
04/29/2015,60.04,N/A,60.04,60.04,60.04
04/28/2015,58.75,N/A,58.75,58.75,58.75
04/27/2015,58.87,N/A,58.87,58.87,58.87
04/24/2015,59.16,N/A,59.16,59.16,59.16
04/23/2015,58.27,N/A,58.27,58.27,58.27
04/22/2015,56.65,N/A,56.65,56.65,56.65
04/21/2015,57.05,N/A,57.05,57.05,57.05
04/20/2015,58.29,N/A,58.29,58.29,58.29
04/17/2015,57.72,N/A,57.72,57.72,57.72
04/16/2015,58.5,N/A,58.5,58.5,58.5
04/15/2015,58.05,N/A,58.05,58.05,58.05
04/14/2015,55.28,N/A,55.28,55.28,55.28
04/13/2015,54.18,N/A,54.18,54.18,54.18
04/10/2015,53.96,N/A,53.96,53.96,53.96
04/09/2015,52.9,N/A,52.9,52.9,52.9
04/08/2015,52.24,N/A,52.24,52.24,52.24
04/07/2015,55.53,N/A,55.53,55.53,55.53
04/06/2015,53.97,N/A,53.97,53.97,53.97
04/03/2015,51.02,N/A,51.02,51.02,51.02
04/02/2015,51.02,N/A,51.02,51.02,51.02
04/01/2015,52.21,N/A,52.21,52.21,52.21
03/31/2015,47.85,N/A,47.85,47.85,47.85
03/30/2015,47.9,N/A,47.9,47.9,47.9
03/27/2015,47.92,N/A,47.92,47.92,47.92
03/26/2015,48.27,N/A,48.27,48.27,48.27
03/25/2015,47.87,N/A,47.87,47.87,47.87
03/24/2015,47.48,N/A,47.48,47.48,47.48
03/23/2015,47.46,N/A,47.46,47.46,47.46
03/20/2015,47.18,N/A,47.18,47.18,47.18
03/19/2015,46.77,N/A,46.77,46.77,46.77
03/18/2015,47.19,N/A,47.19,47.19,47.19
03/17/2015,46.56,N/A,46.56,46.56,46.56
03/16/2015,46.94,N/A,46.94,46.94,46.94
03/13/2015,47.45,N/A,47.45,47.45,47.45
03/12/2015,48.72,N/A,48.72,48.72,48.72
03/11/2015,49.35,N/A,49.35,49.35,49.35
03/10/2015,49.41,N/A,49.41,49.41,49.41
03/09/2015,50.62,N/A,50.62,50.62,50.62
03/06/2015,50.38,N/A,50.38,50.38,50.38
03/05/2015,51.3,N/A,51.3,51.3,51.3
03/04/2015,51.94,N/A,51.94,51.94,51.94
03/03/2015,51.11,N/A,51.11,51.11,51.11
03/02/2015,50.2,N/A,50.2,50.2,50.2
02/27/2015,50.72,N/A,50.72,50.72,50.72
02/26/2015,50.64,N/A,50.64,50.64,50.64
02/25/2015,50.94,N/A,50.94,50.94,50.94
02/24/2015,50.67,N/A,50.67,50.67,50.67
02/23/2015,50.7,N/A,50.7,50.7,50.7
02/20/2015,51.06,N/A,51.06,51.06,51.06
02/19/2015,51.37,N/A,51.37,51.37,51.37
02/18/2015,51.74,N/A,51.74,51.74,51.74
02/17/2015,52.34,N/A,52.34,52.34,52.34
02/16/2015,52.02,N/A,52.02,52.02,52.02
02/13/2015,52.02,N/A,52.02,52.02,52.02
02/12/2015,51.21,N/A,51.21,51.21,51.21
02/11/2015,49.84,N/A,49.84,49.84,49.84
02/10/2015,50.57,N/A,50.57,50.57,50.57
02/09/2015,52.49,N/A,52.49,52.49,52.49
02/06/2015,51.63,N/A,51.63,51.63,51.63
02/05/2015,50.68,N/A,50.68,50.68,50.68
02/04/2015,48.97,N/A,48.97,48.97,48.97
02/03/2015,53.08,N/A,53.08,53.08,53.08
02/02/2015,49.8,N/A,49.8,49.8,49.8
01/30/2015,49.33,N/A,49.33,49.33,49.33
01/29/2015,45.66,N/A,45.66,45.66,45.66
01/28/2015,45.59,N/A,45.59,45.59,45.59
01/27/2015,47.27,N/A,47.27,47.27,47.27
01/26/2015,45.34,N/A,45.34,45.34,45.34
01/23/2015,45.78,N/A,45.78,45.78,45.78
01/22/2015,46.49,N/A,46.49,46.49,46.49
01/21/2015,47.95,N/A,47.95,47.95,47.95
01/20/2015,46.65,N/A,46.65,46.65,46.65
01/19/2015,49.32,N/A,49.32,49.32,49.32
