Date,Close/Last,Volume,Open,High,Low
12/01/2017,63.73,27677,62.64,64.31,62.6
11/30/2017,63.57,1499,63.34,64.2,63.2
11/29/2017,63.11,7593,63.34,64.04,62.55
11/28/2017,63.61,13742,63.71,63.9,63.11
11/27/2017,63.84,21369,63.85,63.98,63.1
11/24/2017,63.86,20576,63.52,63.95,62.89
11/22/2017,63.32,151,63.23,63.38,63.1
11/21/2017,62.57,28710,62.13,62.84,62.04
11/20/2017,62.22,22434,62.72,62.8,61.44
11/17/2017,62.72,30676,61.45,62.9,61.09
11/16/2017,61.36,27945,61.87,62.15,61.25
11/15/2017,61.87,27096,61.5,62.12,61.31
11/14/2017,62.21,45948,63.16,63.21,61.21
11/13/2017,63.16,29278,63.62,63.73,62.62
11/10/2017,63.52,24121,63.83,64.27,63.35
11/09/2017,63.93,197,63.83,63.85,63.73
11/08/2017,63.49,40628,63.63,64.64,62.95
11/07/2017,63.69,33360,64.09,64.64,63.49
11/06/2017,64.27,31809,62.13,64.44,62.13
11/03/2017,62.07,24834,60.73,62.22,60.6
11/02/2017,60.62,26740,60.44,60.82,60.04
11/01/2017,60.49,29443,61.1,61.7,60
10/31/2017,61.37,913,60.87,61.38,60.55
10/30/2017,60.9,10530,60.65,61,60.16
10/27/2017,60.44,13678,59.49,60.66,58.82
10/26/2017,59.3,22417,58.48,59.55,58.04
10/25/2017,58.44,24834,58.46,58.73,57.86
10/24/2017,58.33,31436,57.36,58.48,57.03
10/23/2017,57.37,25562,57.97,58.03,57.28
10/20/2017,57.75,26658,57.29,57.9,56.6
10/19/2017,57.23,29289,58.2,58.28,57.04
10/18/2017,58.15,24826,58.07,58.54,57.75
10/17/2017,57.88,30527,57.84,58.35,57.18
10/16/2017,57.82,21712,57.12,58.47,57.12
10/13/2017,57.17,22976,56.47,57.56,56.38
10/12/2017,56.25,22097,56.66,56.82,55.88
10/11/2017,56.94,20924,56.54,57.09,56.16
10/10/2017,56.61,20863,55.7,56.91,55.69
10/09/2017,55.79,22751,55.49,55.98,55.06
10/06/2017,55.62,32731,56.98,57.27,55.14
10/05/2017,57,27740,55.77,57.24,55.7
10/04/2017,55.8,25291,55.7,56.19,55.39
10/03/2017,56,20213,56.08,56.39,55.69
10/02/2017,56.12,19155,56.62,56.75,55.51
09/29/2017,56.79,917,57.53,57.76,57.21
09/28/2017,57.41,6642,57.67,58.62,56.85
09/27/2017,57.9,14474,58.6,58.86,57.57
09/26/2017,58.44,28126,59.2,59.49,57.78
09/25/2017,59.02,23576,56.89,59.22,56.7
09/22/2017,56.86,18004,56.5,56.9,56.23
09/21/2017,56.43,23231,56.18,56.53,55.78
09/20/2017,56.29,26725,55.41,56.48,55.28
09/19/2017,55.14,19107,55.45,55.88,54.89
09/18/2017,55.48,23402,55.53,55.94,54.82
09/15/2017,55.62,20860,55.27,55.85,54.87
09/14/2017,55.47,26567,55.07,56,54.93
09/13/2017,55.16,24387,54.26,55.2,54.03
09/12/2017,54.27,22555,53.86,54.44,53.43
09/11/2017,53.84,29589,53.75,54.11,53.04
09/08/2017,53.78,28817,54.54,54.86,53.56
09/07/2017,54.49,34585,54.08,54.67,53.89
09/06/2017,54.2,29960,53.18,54.3,53.09
09/05/2017,53.38,37958,52.33,53.65,51.98
09/01/2017,52.75,1037,52.8,52.8,52.34
08/31/2017,52.38,1552,50.51,52.35,50.13
08/30/2017,50.86,8266,51.88,52.02,50.63
08/29/2017,52,19439,52.15,52.15,51.37
08/28/2017,51.89,22730,52.67,53.16,51.52
08/25/2017,52.41,32333,52.2,52.79,51.92
08/24/2017,52.04,34515,52.55,52.71,51.61
08/23/2017,52.57,31155,51.63,52.62,51.45
08/22/2017,51.87,34698,51.68,52.27,51.4
08/21/2017,51.66,32509,52.9,52.9,51.29
08/18/2017,52.72,41032,50.86,52.95,50.78
08/17/2017,51.03,43137,50.38,51.11,49.99
08/16/2017,50.27,33788,50.96,51.35,50.15
08/15/2017,50.8,34986,50.65,51.1,50.03
08/14/2017,50.73,29701,52.01,52.39,50.58
08/11/2017,52.1,25239,51.92,52.27,51.31
08/10/2017,51.9,52863,52.78,53.63,51.68
08/09/2017,52.7,25860,51.83,52.82,51.83
08/08/2017,52.14,24109,52.24,52.73,51.82
08/07/2017,52.37,27703,52.38,52.56,51.37
08/04/2017,52.42,26699,51.91,52.52,51.44
08/03/2017,52.01,34467,52.29,52.87,51.79
08/02/2017,52.36,33979,51.57,52.42,51.19
08/01/2017,51.78,33734,52.67,52.93,50.88
07/31/2017,52.65,495,52.76,52.85,52.25
07/28/2017,52.52,10617,51.58,52.67,51.31
07/27/2017,51.49,21362,50.87,51.64,50.51
07/26/2017,50.97,25797,50.76,51.03,50.08
07/25/2017,50.2,26956,48.74,50.9,48.65
07/24/2017,48.6,25016,47.89,48.76,47.68
07/21/2017,48.06,26690,49.27,49.64,47.81
07/20/2017,49.3,23983,49.6,50.18,49.19
07/19/2017,49.7,19927,48.7,49.8,48.6
